	Experiment1	Experiment2	GPT_model	pvalue	corrected_pvalue
0	FRQ	4-choice MCQ	GPT4	9.999000099990002e-05	0.00029997000299970003
1	FRQ	Many-choice MCQ	GPT4	9.999000099990002e-05	0.00029997000299970003
2	4-choice MCQ	Many-choice MCQ	GPT4	9.999000099990002e-05	0.00029997000299970003
0	FRQ	4-choice MCQ	GPT-3.5	9.999000099990002e-05	0.00029997000299970003
1	FRQ	Many-choice MCQ	GPT-3.5	9.999000099990002e-05	0.00029997000299970003
2	4-choice MCQ	Many-choice MCQ	GPT-3.5	9.999000099990002e-05	0.00029997000299970003
