	Experiment1	Experiment2	GPT_model	pvalue	corrected_pvalue
0	4-choice MCQ	4-choice MCQ (without PE)	GPT4	0.00019998000199980003	0.00029997000299970003
1	many-choice MCQ	many-choice MCQ (without PE)	GPT4	9.999000099990002e-05	0.00029997000299970003
2	FRQ	FRQ (without PE)	GPT4	9.999000099990002e-05	0.00029997000299970003
0	4-choice MCQ	4-choice MCQ (without PE)	GPT-3.5	0.0005999400059994001	0.0011998800119988001
1	many-choice MCQ	many-choice MCQ (without PE)	GPT-3.5	0.34726527347265274	0.34726527347265274
2	FRQ	FRQ (without PE)	GPT-3.5	9.999000099990002e-05	0.00029997000299970003
